
> dashboard@0.0.1 dev C:\Users\yonat\Documents\Project\dashboard
> next dev "--port" "3000"

▲ Next.js 16.2.6 (Turbopack)
- Local:         http://localhost:3000
- Network:       http://172.20.10.2:3000
✓ Ready in 1263ms

 GET / 200 in 1078ms (next.js: 349ms, application-code: 729ms)
 GET /api/tenants/chez-marcel-bistrot/status 404 in 207ms (next.js: 24ms, application-code: 184ms)
 GET /api/tenants/chez-marcel-bistrot/activity 200 in 44ms (next.js: 34ms, application-code: 9ms)
 GET /api/tenants/chez-marcel-bistrot/calls 200 in 137ms (next.js: 130ms, application-code: 8ms)
 GET /api/tenants/chez-marcel-bistrot/documents 200 in 136ms (next.js: 128ms, application-code: 8ms)
 GET /api/tenants/chez-marcel-bistrot/status 404 in 179ms (next.js: 12ms, application-code: 167ms)
 GET /api/tenants/chez-marcel-bistrot/activity 200 in 78ms (next.js: 67ms, application-code: 11ms)
 GET /api/tenants/chez-marcel-bistrot/calls 200 in 164ms (next.js: 148ms, application-code: 16ms)
 GET /api/tenants/chez-marcel-bistrot/documents 200 in 202ms (next.js: 181ms, application-code: 21ms)
 GET /api/tenants/chez-marcel-bistrot/status 404 in 278ms (next.js: 21ms, application-code: 257ms)
 GET /api/tenants/chez-marcel-bistrot/activity 200 in 96ms (next.js: 81ms, application-code: 14ms)
 GET /api/tenants/chez-marcel-bistrot/documents 200 in 70ms (next.js: 55ms, application-code: 15ms)
 GET /api/tenants/chez-marcel-bistrot/calls 200 in 76ms (next.js: 56ms, application-code: 20ms)
 GET /api/tenants/chez-marcel-bistrot/status 404 in 208ms (next.js: 27ms, application-code: 181ms)
 GET /api/tenants/chez-marcel-bistrot/activity 200 in 60ms (next.js: 49ms, application-code: 11ms)
 GET /api/tenants/chez-marcel-bistrot/calls 200 in 100ms (next.js: 86ms, application-code: 15ms)
 GET /api/tenants/chez-marcel-bistrot/documents 200 in 153ms (next.js: 135ms, application-code: 18ms)
 GET /api/tenants/chez-marcel-bistrot/status 404 in 193ms (next.js: 21ms, application-code: 172ms)
 GET /api/tenants/chez-marcel-bistrot/activity 200 in 81ms (next.js: 67ms, application-code: 15ms)
 GET /api/tenants/chez-marcel-bistrot/calls 200 in 107ms (next.js: 93ms, application-code: 13ms)
 GET /api/tenants/chez-marcel-bistrot/documents 200 in 170ms (next.js: 155ms, application-code: 15ms)
 GET /api/tenants/chez-marcel-bistrot/status 404 in 222ms (next.js: 37ms, application-code: 185ms)
 GET /api/tenants/french-demo 200 in 79ms (next.js: 67ms, application-code: 13ms)
 GET /api/tenants/french-demo/activity 200 in 114ms (next.js: 98ms, application-code: 16ms)
 GET /api/tenants/french-demo/calls 200 in 57ms (next.js: 37ms, application-code: 20ms)
 GET /api/tenants/french-demo/documents 200 in 106ms (next.js: 84ms, application-code: 22ms)
 GET /api/tenants/french-demo/status 404 in 257ms (next.js: 23ms, application-code: 234ms)
 GET /api/tenants/french-demo/activity 200 in 88ms (next.js: 73ms, application-code: 15ms)
 GET /api/tenants/french-demo/calls 200 in 139ms (next.js: 119ms, application-code: 21ms)
 GET /api/tenants/french-demo/documents 200 in 174ms (next.js: 157ms, application-code: 17ms)
 GET /api/tenants/french-demo/status 404 in 208ms (next.js: 34ms, application-code: 175ms)
